0.00.043.310 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.043.982 W srv  llama_server: -----------------
0.00.043.984 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.043.984 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.043.984 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.043.985 W srv  llama_server: -----------------
0.00.045.506 I srv    load_model: loading model '/tmp/qwen-launcher-spike-0-b10011/model.gguf'
0.48.899.092 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.48.899.096 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.48.899.097 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.52.134.394 I srv    load_model: loaded multimodal model, '/tmp/qwen-launcher-spike-0-b10011/mmproj-BF16.gguf'
0.54.229.611 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.54.334.825 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.54.335.889 I srv  llama_server: model loaded
0.54.335.894 I srv  llama_server: listening on http://127.0.0.1:18085
0.55.180.907 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
3.01.201.052 I slot launch_slot_: id  0 | task 403 | processing task, is_child = 0
3.09.970.708 I slot print_timing: id  0 | task 403 | n_decoded =    100, tg =  11.69 t/s, tg_3s =  11.69 t/s
3.12.985.224 I slot print_timing: id  0 | task 403 | n_decoded =    136, tg =  11.75 t/s, tg_3s =  11.94 t/s
3.15.997.210 I slot print_timing: id  0 | task 403 | n_decoded =    168, tg =  11.52 t/s, tg_3s =  10.62 t/s
3.19.210.779 I slot print_timing: id  0 | task 403 | n_decoded =    208, tg =  11.69 t/s, tg_3s =  12.46 t/s
3.22.435.667 I slot print_timing: id  0 | task 403 | n_decoded =    245, tg =  11.65 t/s, tg_3s =  11.46 t/s
3.23.751.924 I slot print_timing: id  0 | task 403 | prompt eval time =     213.08 ms /     4 tokens (   53.27 ms per token,    18.77 tokens per second)
3.23.751.928 I slot print_timing: id  0 | task 403 |        eval time =   22337.75 ms /   256 tokens (   87.26 ms per token,    11.46 tokens per second)
3.23.751.929 I slot print_timing: id  0 | task 403 |       total time =   22550.83 ms /   260 tokens
3.23.751.929 I slot print_timing: id  0 | task 403 |    graphs reused =        471
3.23.751.932 I slot print_timing: id  0 | task 403 | draft acceptance = 0.81865 (  158 accepted /   193 generated), mean len =  2.63
3.23.751.967 I slot      release: id  0 | task 403 | stop processing: n_tokens = 383, truncated = 0
3.23.775.304 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.334
3.23.775.420 I slot launch_slot_: id  0 | task 502 | processing task, is_child = 0
3.32.542.270 I slot print_timing: id  0 | task 502 | n_decoded =    100, tg =  11.70 t/s, tg_3s =  11.70 t/s
3.35.573.077 I slot print_timing: id  0 | task 502 | n_decoded =    136, tg =  11.74 t/s, tg_3s =  11.88 t/s
3.38.599.421 I slot print_timing: id  0 | task 502 | n_decoded =    168, tg =  11.50 t/s, tg_3s =  10.57 t/s
3.41.818.477 I slot print_timing: id  0 | task 502 | n_decoded =    208, tg =  11.67 t/s, tg_3s =  12.43 t/s
3.45.039.499 I slot print_timing: id  0 | task 502 | n_decoded =    245, tg =  11.64 t/s, tg_3s =  11.49 t/s
3.46.351.504 I slot print_timing: id  0 | task 502 | prompt eval time =     216.64 ms /     4 tokens (   54.16 ms per token,    18.46 tokens per second)
3.46.351.509 I slot print_timing: id  0 | task 502 |        eval time =   22359.40 ms /   256 tokens (   87.34 ms per token,    11.45 tokens per second)
3.46.351.510 I slot print_timing: id  0 | task 502 |       total time =   22576.04 ms /   260 tokens
3.46.351.510 I slot print_timing: id  0 | task 502 |    graphs reused =        565
3.46.351.513 I slot print_timing: id  0 | task 502 | draft acceptance = 0.81865 (  158 accepted /   193 generated), mean len =  2.63
3.46.351.546 I slot      release: id  0 | task 502 | stop processing: n_tokens = 383, truncated = 0
3.46.430.647 I srv    operator(): operator(): cleaning up before exit...
